Date,Close,High,Low,Open,Volume,ticker
2023-05-02,617.90673828125,621.2884211681107,612.5273208608007,616.7567888458344,738100,ASML
2023-05-03,618.5791015625,628.2368198938458,614.6614343158119,617.7994819736147,582900,ASML
2023-05-04,618.8812255859375,623.0620376225438,613.813608879206,616.035587231691,614000,ASML
2023-05-05,633.7625122070312,637.5631804329726,617.7605908416488,620.4697796249554,801400,ASML
2023-05-08,638.3134765625,638.323231472332,632.6806704271903,635.1559787970878,518900,ASML
2023-05-09,626.6775512695312,627.476680717816,622.0290387639192,624.1924876878501,746100,ASML
2023-05-10,640.408935546875,643.5859440037307,635.3023578108238,637.7191968660727,813600,ASML
2023-05-11,633.6357421875,635.6725556001702,628.7240852780222,634.2107465755583,560600,ASML
2023-05-12,631.0241088867188,634.425242374164,625.7518166506193,632.8075329048032,375300,ASML
2023-05-15,638.9956665039062,639.0054214137467,628.4608992066475,630.4099777776937,893400,ASML
2023-05-16,635.448486328125,641.1203135098282,634.9904813016543,636.1599406296335,709600,ASML
2023-05-17,653.4286499023438,654.3057591309195,636.1500858449385,640.2626134499652,1162700,ASML
2023-05-18,678.2112426757812,679.4976419072002,657.882363713278,658.0772835024933,1459000,ASML
2023-05-19,676.3304443359375,682.0509867074896,676.1745441804294,680.2286025165481,949700,ASML
2023-05-22,680.852294921875,681.7878147799254,671.2920647448108,673.2703490122891,856000,ASML
2023-05-23,664.0999755859375,675.7262250580994,661.5758920278303,673.2606114926308,958600,ASML
2023-05-24,649.8131713867188,653.760103944195,644.3460190706077,651.0508555849218,1159300,ASML
2023-05-25,690.441650390625,692.8877537850047,676.0964590709733,683.1716245839265,1929800,ASML
2023-05-26,717.1927490234375,723.4103149416989,697.419366685606,698.4036609629941,2349100,ASML
2023-05-30,709.7180786132812,728.1076324792451,707.0770554050285,724.2094748481996,1411100,ASML
2023-05-31,704.5237426757812,711.4527033510915,695.1194734031405,708.5583499605807,1347600,ASML
2023-06-01,708.2660522460938,714.0645143652094,700.2553070692838,705.7614787319827,992100,ASML
2023-06-02,706.2000122070312,713.8988379113838,701.434500183194,711.4137742946698,813800,ASML
2023-06-05,703.8123779296875,708.1295804035901,700.1091400461821,706.1902564832925,663700,ASML
2023-06-06,698.3841552734375,699.3684495566489,685.0524637953719,689.7302408871411,845400,ASML
2023-06-07,692.1276245117188,701.8145481886083,687.6057475781851,695.1973878257954,921200,ASML
2023-06-08,701.7171630859375,702.0777379465583,690.334548733793,692.9950225651766,762400,ASML
2023-06-09,697.6337890625,707.1355486000426,694.466535883319,702.2141363255488,864500,ASML
2023-06-12,711.5795288085938,712.1642882291386,701.6684782086256,703.6078024022422,1058900,ASML
2023-06-13,718.4987182617188,720.57449204561,705.3716409596292,718.4499437043576,876100,ASML
2023-06-14,721.3638916015625,722.835396255643,709.6206432549923,716.6860545016189,821400,ASML
2023-06-15,719.8826293945312,725.4862318601635,703.92942156826,704.8552460457732,820400,ASML
2023-06-16,703.5004272460938,714.4931995043165,701.6682886228637,712.7780603185221,1337400,ASML
2023-06-20,702.0679321289062,706.2877045608178,692.4882522556406,702.2726068246226,799300,ASML
2023-06-21,689.2918090820312,701.2299185221327,686.9139302102253,700.323603881972,820300,ASML
2023-06-22,699.1444702148438,699.4758398704446,682.5188260205072,684.1073304223158,699800,ASML
2023-06-23,680.121337890625,683.7661058461923,678.2014642810251,680.3259531032229,916900,ASML
2023-06-26,682.4114379882812,695.9380491836718,682.4016830776087,685.179155966966,714000,ASML
2023-06-27,706.6189575195312,708.1586867548932,686.5824323098489,688.9018405538302,1115800,ASML
2023-06-28,705.751708984375,711.4137806677028,699.0566278891873,701.1128918016648,866400,ASML
2023-06-29,704.9330444335938,710.8095455101668,703.217905070229,709.0943466656381,768100,ASML
2023-06-30,706.2974243164062,708.9286925709065,697.4388350718605,704.1339754172341,963600,ASML
2023-07-03,715.1950073242188,718.4012206611502,707.6618365044925,715.3021923868896,531900,ASML
2023-07-05,697.4485473632812,704.2118527093769,696.2498830184018,702.8377784224049,954800,ASML
2023-07-06,681.505126953125,685.76385925714,675.5799109070839,683.8634955824427,1218700,ASML
