Date,Close,High,Low,Open,Volume,ticker
2023-05-02,237.377197265625,243.01296348744427,237.1291438550172,241.2865062992217,24350100,META
2023-05-03,235.1844024658203,239.86765214917628,230.93772921497737,237.60540621704422,34463900,META
2023-05-04,231.70172119140625,236.3452735137011,231.11630366840006,234.22193704205742,17889400,META
2023-05-05,230.96749877929688,232.85269871171457,228.06031996962398,230.4317100547082,27000500,META
2023-05-08,231.4536590576172,233.78535181623081,228.47701840748957,229.61805793404758,16400500,META
2023-05-09,231.5529022216797,234.04336825414188,229.2807395505276,229.65778559464076,16865600,META
2023-05-10,231.26513671875,234.9065586409701,228.9235121283877,234.33107296351068,19119000,META
2023-05-11,233.95404052734375,236.35521078761784,230.49122471674158,231.23538492451843,20449000,META
2023-05-12,231.98947143554688,235.11495352176897,229.64784661240037,234.89666530723997,16161400,META
2023-05-15,237.00015258789062,238.38924563922228,233.4976396213384,235.07525568820336,20653200,META
2023-05-16,236.96046447753906,237.77407177480512,233.68615649688385,233.9540432740443,18163800,META
2023-05-17,240.6018829345703,241.94136221960335,236.28574768951486,236.59333148518962,21193100,META
2023-05-18,244.9279327392578,245.16605431320838,239.31200014059405,239.42114424198073,22943300,META
2023-05-19,243.7273712158203,246.75362601085467,241.5147389171471,245.54312409284094,21733600,META
2023-05-22,246.38648986816406,251.5956112987984,243.21139421750922,243.49914464158914,27738500,META
2023-05-23,244.8188018798828,249.65087751904687,244.72949114484263,244.8882489627154,17748100,META
2023-05-24,247.26956176757812,247.64659264626343,243.04272207618027,243.37015438607577,17724300,META
2023-05-25,250.7224578857422,253.6296364767489,247.22986176229892,251.4269210658252,22371400,META
2023-05-26,259.99969482421875,260.26758163108605,250.74233888741432,250.96061197968322,25727200,META
2023-05-30,260.4759216308594,266.5581962700264,259.25551819647967,263.18467584953015,23816500,META
2023-05-31,262.6588134765625,262.93663210305795,256.43764444041886,257.97556357281155,25473700,META
2023-06-01,270.4873046875,271.86649597151376,263.8196591105298,263.82956065505147,25609500,META
2023-06-02,270.4873046875,273.2059902375829,269.0089162785536,270.53693352991894,19416900,META
2023-06-05,269.27691650390625,273.42436290204057,267.4611483013033,268.1953768204094,20742900,META
2023-06-06,269.0089416503906,274.4165177871543,267.5900834945639,268.036591718684,19419000,META
2023-06-07,261.5475158691406,272.11458484922684,260.75372680643784,269.5546870369073,26163600,META
2023-06-08,262.5198669433594,265.5659700319198,256.86426746253426,258.5907094762658,20899400,META
2023-06-09,262.88702392578125,265.86366493518454,259.6623294989277,260.43625495017426,16949800,META
2023-06-12,268.9394836425781,269.6340452732035,263.2640206504683,265.0897203172627,15442500,META
2023-06-13,269.20745849609375,273.5731932089615,266.99481079654396,272.73973724122914,16164000,META
2023-06-14,271.22161865234375,272.8488333609741,266.23078499484023,269.77299514100963,19175100,META
2023-06-15,279.63555908203125,281.7787441952247,269.3066416531064,270.1797642281489,25973500,META
2023-06-16,278.81201171875,285.60868069386356,277.948790762136,282.53281258688276,43127700,META
2023-06-20,282.1160888671875,282.5824304857627,274.0692508402336,276.55971674793904,20701600,META
2023-06-21,279.447021484375,281.78863078326714,276.19253217277145,281.3222892323925,20556200,META
2023-06-22,282.66180419921875,283.0388501973206,275.62701368291556,276.90694737547614,17563100,META
2023-06-23,286.4818420410156,287.4145252422429,276.7779942979955,279.3180586775212,51092000,META
2023-06-26,276.3017578125,287.5336244711032,275.43853671466735,286.45211514209774,24232700,META
2023-06-27,284.81494140625,287.09705117182915,278.4647795384772,279.8142059678566,26108300,META
2023-06-28,283.068603515625,287.2954125192088,281.848169985602,282.6022619501645,16722100,META
2023-06-29,279.3379211425781,284.33868665809604,278.50446526998496,282.28479703637055,15395700,META
2023-06-30,284.7454833984375,286.7993426355483,282.20541888378625,282.542767890268,19694900,META
2023-07-03,283.79296875,287.14665610377796,282.6320956075144,284.46769711960735,8629300,META
2023-07-05,292.077880859375,295.7986814551919,284.1302410971252,285.41020498047294,33865500,META
2023-07-06,289.7164306640625,295.79870469399134,289.0417327035368,293.58608781168573,47600500,META
2023-07-07,288.26776123046875,293.893624596824,286.412326995765,289.90490730344555,25586000,META
2023-07-10,291.81005859375,295.8086786396994,284.8149337600443,293.2487503073784,37058300,META
2023-07-11,295.9674072265625,297.84267521035605,289.6271477024056,291.6115749292531,27585900,META
2023-07-12,306.9313659667969,307.04052521355806,297.7633215569858,299.4004680187438,36677100,META
2023-07-13,310.96966552734375,313.7776166697492,307.8739639648475,311.17802190329286,30281000,META
2023-07-14,306.4650573730469,312.4282717245608,304.9668049148223,309.36233485809737,23054100,META
2023-07-17,308.2013854980469,309.2828946951575,302.3373994520956,305.1453809142804,25323100,META
2023-07-18,309.6202697753906,311.75355343232627,305.22477039697566,308.4593967151567,20731900,META
2023-07-19,313.5494689941406,316.19866268368173,308.10219505234863,310.5926611922204,21763700,META
2023-07-20,300.1644592285156,313.0831001900084,299.86680724874,311.05897588766237,23836900,META
2023-07-21,291.96881103515625,303.0815862304324,288.93263955652174,302.1985317891098,42139300,META
2023-07-24,289.3393859863281,295.2033718464492,286.0551614764398,293.4769299160423,24915700,META
2023-07-25,292.1771545410156,295.97731949491924,289.5874611705835,292.89154957975995,19585600,META
2023-07-26,296.2452087402344,299.42027395208453,289.6271309972358,298.8448034126717,47256900,META
2023-07-27,309.2828674316406,322.8166743609135,307.4274329964879,322.58845435083214,64229200,META
2023-07-28,322.9457092285156,323.66010426666475,311.80313905459457,314.4126657950555,39220300,META
2023-07-31,316.1192321777344,323.12425717661716,315.11708683722975,321.1695953393681,25799600,META
2023-08-01,320.197265625,321.6161541887826,312.2099576770772,315.06753789734006,22817900,META
2023-08-02,311.8626708984375,315.9109195600562,308.23116529432224,315.5239417009489,20461100,META
2023-08-03,310.7513732910156,313.48989245918426,307.5167473332486,307.5167473332486,15180200,META
2023-08-04,308.31060791015625,315.9308026995158,307.784735802348,312.5076529449398,17612800,META
2023-08-07,314.0951232910156,314.60116189806973,308.04261449667547,310.79106544719536,16236500,META
2023-08-08,310.20562744140625,315.4147480522107,307.69529834496996,311.95190252247085,15183500,META
2023-08-09,302.8335266113281,311.1879790598838,300.4919168777885,310.4438188052483,19955800,META
2023-08-10,303.359375,309.90799078632176,301.5039404211993,305.54225702209254,14358900,META
2023-08-11,299.29132080078125,302.34732532437346,298.02125834115725,300.2140721691434,14046300,META
2023-08-14,303.8058776855469,303.82571105631087,295.9276994586192,298.63645342569663,15641900,META
2023-08-15,299.598876953125,304.8377629959797,297.69381371938107,303.75625391993054,11623600,META
2023-08-16,291.9985656738281,298.735674605063,291.988633847669,297.8625520218376,18547700,META
