Date,Close,High,Low,Open,Volume,ticker
2023-05-02,395.3537902832031,399.1837787040956,392.4476367591756,399.13564578414,103998500,SPY
2023-05-03,392.64007568359375,398.26957154429016,392.3994991884123,395.8541741351487,91531800,SPY
2023-05-04,389.8590087890625,391.91832822239473,388.5213894409254,391.59114772802405,94901900,SPY
2023-05-05,397.07635498046875,398.12526506376383,393.23676319139554,393.49657525587213,87891800,SPY
2023-05-08,397.1820983886719,397.6632513030807,395.77714010142626,397.4034393015075,50046800,SPY
2023-05-09,395.4404296875,396.55670826234115,395.2094856262401,395.63290265005054,49220100,SPY
2023-05-10,397.2879638671875,398.91426305321323,393.45797612938696,398.27913768761357,96142900,SPY
2023-05-11,396.5951843261719,396.8838643849846,394.5165998009732,396.4219762908843,70157100,SPY
2023-05-12,396.0754699707031,398.04821462684833,393.65046974768575,397.8365061605119,70481500,SPY
2023-05-15,397.44195556640625,397.8461075849292,394.766746430572,396.6817257085728,54289400,SPY
2023-05-16,394.7859802246094,397.25911334021237,394.7763477684629,396.33527856748293,57705500,SPY
2023-05-17,399.5782775878906,400.1845056184392,395.16129716185526,396.80683197926186,87287000,SPY
2023-05-18,403.4275817871094,403.8509988046538,399.03946848460396,399.26078008428595,97177200,SPY
2023-05-19,402.8404846191406,404.8613328497813,401.61836671819003,404.33207636027197,103793300,SPY
2023-05-22,403.004150390625,404.54384591155565,401.61842735851235,402.85981035962357,60745400,SPY
2023-05-23,398.48126220703125,402.9367433972177,398.08671324851565,401.35854756315524,86383500,SPY
2023-05-24,395.5943908691406,397.25919090910776,394.4300087705914,396.8742743622671,89213700,SPY
2023-05-25,399.0201721191406,400.4732635587891,396.8646161031706,399.1067761340057,90961600,SPY
2023-05-26,404.187744140625,404.90947362025605,399.59755522238083,399.67452677861917,93830000,SPY
2023-05-30,404.34173583984375,406.65126441099187,402.95601282370507,406.12200784767117,72216000,SPY
2023-05-31,402.0995178222656,403.41787217907637,400.5309545391423,402.51330230251745,110811800,SPY
2023-06-01,405.919921875,406.9784643429913,401.07952389464964,402.33050994129945,88865000,SPY
2023-06-02,411.7900390625,412.5791077450609,407.9696826723972,408.4989392802767,91426200,SPY
2023-06-05,411.0008544921875,413.4258547804784,410.298360615152,412.13636840253633,65460200,SPY
2023-06-06,411.8958435058594,412.4251000685976,409.93273100728186,410.5871214183071,64022200,SPY
2023-06-07,410.4715576171875,413.42584368993704,410.0481406844761,412.2903298100494,85373300,SPY
2023-06-08,412.9543762207031,413.40666121291997,409.7691457275,410.53897877639116,61952800,SPY
2023-06-09,413.6953125,415.7065283650919,412.70413856902655,413.75304850629004,85742800,SPY
2023-06-12,417.4483337402344,417.5253346663892,413.9551876062376,414.6769171108834,76104300,SPY
2023-06-13,420.20050048828125,420.8452289997208,418.2470206735575,418.9110140981565,95899700,SPY
2023-06-14,420.7008972167969,422.5100370544421,417.2462224703346,420.5373216552151,100612100,SPY
2023-06-15,425.91656494140625,427.16755076971987,419.78668152163175,419.8828886105457,110303100,SPY
2023-06-16,424.4658203125,428.47421834147775,423.9925483177265,427.9043524050704,114165800,SPY
2023-06-20,422.2636413574219,423.41304154167295,420.1870041214196,422.52444796434224,76160400,SPY
2023-06-21,420.1000671386719,422.0801103736596,419.51086470582334,421.2784425280354,76982300,SPY
2023-06-22,421.61651611328125,421.7227488220665,418.80580025695025,419.14386433493524,70637200,SPY
2023-06-23,418.4291076660156,420.2159925909701,417.71436548656794,418.1586622892244,92074500,SPY
2023-06-26,416.71954345703125,419.781368562751,416.47807329831915,417.8592755318311,72823600,SPY
2023-06-27,421.2881164550781,421.9062646558956,417.1444807996532,417.59844581995696,72813700,SPY
2023-06-28,421.5006408691406,422.514803688603,419.58818670737986,420.2063349514927,75636000,SPY
2023-06-29,423.1619567871094,423.32616946695146,420.6796659223557,421.08531928799687,67882300,SPY
2023-06-30,428.155517578125,429.1407051013052,426.0595438710738,426.3783009507995,104964000,SPY
2023-07-03,428.6481018066406,428.9281859198321,427.52767692487674,427.8077905144009,32793400,SPY
2023-07-05,428.0105895996094,428.7446681415773,426.82254608716084,426.8322143236596,58418400,SPY
2023-07-06,424.6590270996094,425.08401688065084,422.1477318870011,424.42722521043544,80658300,SPY
2023-07-07,423.58685302734375,427.5373299461191,423.34538291856603,423.6641399688983,86134200,SPY
2023-07-10,424.6590270996094,424.8328785164898,422.6596473764828,423.2295133382579,62443500,SPY
2023-07-11,427.3634948730469,427.8561033801802,424.4465462578362,425.4220950342892,64463800,SPY
2023-07-12,430.80206298828125,432.2122699147005,429.7299496500487,431.1594635773627,91924500,SPY
2023-07-13,434.22125244140625,435.0132815571351,432.18325865422753,432.617887210663,72425200,SPY
2023-07-14,433.9507751464844,435.9597935487755,433.1877213239847,435.109843497716,69815800,SPY
2023-07-17,435.4575500488281,436.51035622999115,433.75759097947645,433.80590268905246,52680200,SPY
2023-07-18,438.6932373046875,439.3403606896483,434.6944781535629,435.12913614001786,80668200,SPY
2023-07-19,439.6688537597656,440.8568680135883,438.61601798371265,439.48533409064345,65891700,SPY
2023-07-20,436.7518615722656,439.5722457578469,436.0371193951603,438.6739839174844,70591600,SPY
2023-07-21,436.7518615722656,438.6739839174844,436.74222281063936,438.47112777830426,71275600,SPY
2023-07-24,438.7029113769531,439.51424741630717,436.86771494424903,437.90121409817567,54023400,SPY
2023-07-25,439.900634765625,441.15626767500714,438.3841952460214,438.4325069587421,55191200,SPY
2023-07-26,439.9682922363281,441.3977766942308,437.91096179208995,438.9637681345287,71052900,SPY
2023-07-27,437.05126953125,443.7641509737044,436.14333947921443,443.35846818342566,92194400,SPY
2023-07-28,441.3302001953125,442.16084340685165,437.05132650770946,440.325676064509,80011800,SPY
2023-07-31,442.1704406738281,442.52781174126136,440.4897885662861,441.8034013690048,62040400,SPY
2023-08-01,440.9051208496094,441.64883818871544,439.94887915495036,440.7022647310359,55291500,SPY
2023-08-02,434.7718200683594,438.0461398306252,434.0184344125547,437.7853626915781,93933400,SPY
2023-08-03,433.5257873535156,435.40926606374575,432.10594188115226,432.75309476673715,64276100,SPY
2023-08-04,431.5650634765625,437.44727217935485,431.0434797536367,435.3416597654818,100128900,SPY
2023-08-07,435.33197021484375,435.4865146243049,432.7047742066685,433.4002093110776,58357500,SPY
2023-08-08,433.4388732910156,435.3223520518387,430.0775985479417,432.7917203880473,71361300,SPY
2023-08-09,430.541259765625,433.87355948928627,429.77820586959297,433.7093468244431,78789600,SPY
2023-08-10,430.6957702636719,436.2882265207825,429.52706313111736,432.89797658868093,93005500,SPY
2023-08-11,430.4446716308594,431.4588639187083,428.2231581026232,428.8219993419041,68690900,SPY
2023-08-14,432.8207702636719,432.8207702636719,429.21805425124865,429.5271431380979,47867400,SPY
2023-08-15,427.7788391113281,431.40089107368914,427.2089436634091,431.0434905199487,75707500,SPY
2023-08-16,424.6397399902344,429.0248164729432,424.53347780183003,427.36350074460506,80107200,SPY
2023-08-17,421.404052734375,426.3686636613096,420.8824689600864,426.10788651233355,95711300,SPY
2023-08-18,421.6068420410156,422.6403412596287,418.2359284981317,418.58363133261804,98852000,SPY
