Date,Close,High,Low,Open,Volume,ticker
2023-05-02,33.744998931884766,36.5,33.682498931884766,36.32749938964844,65663200,ANET
2023-05-03,33.182498931884766,34.02750015258789,33.0625,33.775001525878906,20181600,ANET
2023-05-04,33.834999084472656,34.20249938964844,32.91999816894531,33.005001068115234,16893200,ANET
2023-05-05,34.494998931884766,34.845001220703125,33.6150016784668,33.84749984741211,12140000,ANET
2023-05-08,34.51750183105469,34.994998931884766,34.467498779296875,34.525001525878906,8765200,ANET
2023-05-09,34.630001068115234,34.84000015258789,34.185001373291016,34.227500915527344,8847600,ANET
2023-05-10,35.310001373291016,35.47475051879883,34.66999816894531,35.102500915527344,8802400,ANET
2023-05-11,34.752498626708984,35.48500061035156,34.60749816894531,35.35749816894531,7244800,ANET
2023-05-12,34.657501220703125,35.11000061035156,34.23249816894531,34.78499984741211,7116000,ANET
2023-05-15,34.494998931884766,34.915000915527344,34.467498779296875,34.625,6594800,ANET
2023-05-16,34.03499984741211,34.599998474121094,33.967498779296875,34.375,8424000,ANET
2023-05-17,33.95750045776367,34.282501220703125,33.657501220703125,34.147499084472656,9409600,ANET
2023-05-18,35.3650016784668,35.45000076293945,33.35499954223633,33.63999938964844,13197600,ANET
2023-05-19,35.977500915527344,36.442501068115234,35.505001068115234,35.70249938964844,13318800,ANET
2023-05-22,36.342498779296875,36.915000915527344,36.18000030517578,36.310001373291016,10478800,ANET
2023-05-23,35.11750030517578,36.22249984741211,35.102500915527344,35.99250030517578,10950800,ANET
2023-05-24,35.30500030517578,35.720001220703125,34.79499816894531,35.57500076293945,12674400,ANET
2023-05-25,39.04999923706055,39.189998626708984,37.65824890136719,38.30500030517578,32553600,ANET
2023-05-26,42.587501525878906,42.67250061035156,39.25,39.252498626708984,34800000,ANET
2023-05-30,43.60499954223633,44.59000015258789,42.52750015258789,42.755001068115234,25407600,ANET
2023-05-31,41.584999084472656,42.650001525878906,41.45750045776367,42.502498626708984,24697600,ANET
2023-06-01,41.66999816894531,41.942501068115234,41.182498931884766,41.45000076293945,14539200,ANET
2023-06-02,40.625,42.494998931884766,40.61000061035156,41.8125,13508000,ANET
2023-06-05,40.657501220703125,40.88249969482422,40.002498626708984,40.74250030517578,8705200,ANET
2023-06-06,39.91999816894531,40.35124969482422,39.45750045776367,40.25,12061200,ANET
2023-06-07,38.897499084472656,40.6150016784668,38.8650016784668,39.91749954223633,13351600,ANET
2023-06-08,40.58000183105469,40.77750015258789,38.939998626708984,39.0,11422000,ANET
2023-06-09,40.630001068115234,41.79499816894531,40.33250045776367,41.037498474121094,11912800,ANET
2023-06-12,42.5,42.505001068115234,40.709999084472656,40.86249923706055,12934800,ANET
2023-06-13,42.150001525878906,43.158748626708984,41.40250015258789,42.779998779296875,13179200,ANET
2023-06-14,42.27000045776367,42.290000915527344,41.102500915527344,41.65999984741211,10488800,ANET
2023-06-15,40.86750030517578,41.08000183105469,39.59749984741211,40.28499984741211,25975200,ANET
2023-06-16,39.4474983215332,41.55500030517578,39.342498779296875,41.42250061035156,17998800,ANET
2023-06-20,38.625,39.85499954223633,38.43000030517578,39.32500076293945,17501200,ANET
2023-06-21,37.877498626708984,38.567501068115234,37.467498779296875,38.397499084472656,13289600,ANET
2023-06-22,38.310001373291016,38.34749984741211,37.43000030517578,37.744998931884766,13264000,ANET
2023-06-23,37.20500183105469,37.73749923706055,37.079750061035156,37.6875,33677200,ANET
2023-06-26,37.70500183105469,38.307498931884766,37.272499084472656,37.40250015258789,10996400,ANET
2023-06-27,39.032501220703125,39.3224983215332,38.04999923706055,38.07500076293945,12628800,ANET
2023-06-28,38.96500015258789,39.51250076293945,38.498748779296875,38.72999954223633,9360800,ANET
2023-06-29,39.8224983215332,39.9900016784668,38.79875183105469,39.27750015258789,9024400,ANET
2023-06-30,40.51499938964844,41.04999923706055,39.95249938964844,40.342498779296875,12004800,ANET
2023-07-03,39.974998474121094,40.464500427246094,39.48500061035156,40.334999084472656,3686800,ANET
2023-07-05,39.91999816894531,40.060001373291016,39.41749954223633,39.55500030517578,6179200,ANET
2023-07-06,39.724998474121094,39.912498474121094,39.181251525878906,39.407501220703125,5550400,ANET
2023-07-07,39.5,40.17250061035156,39.35499954223633,39.662498474121094,7140400,ANET
2023-07-10,39.88750076293945,39.907501220703125,38.95000076293945,39.397499084472656,5835200,ANET
2023-07-11,40.04249954223633,40.439998626708984,39.599998474121094,40.122501373291016,6460000,ANET
2023-07-12,41.0099983215332,41.153751373291016,40.400001525878906,40.5,10754800,ANET
2023-07-13,42.15250015258789,42.19499969482422,41.221248626708984,41.29999923706055,11157600,ANET
2023-07-14,41.39500045776367,42.375,40.72624969482422,41.72999954223633,8140400,ANET
2023-07-17,42.60499954223633,42.6150016784668,41.3849983215332,41.3849983215332,7499600,ANET
